iter	Passed	Remaining
762	5692	1768
763	5699	1760
764	5705	1752
765	5711	1744
766	5720	1737
767	5727	1730
768	5733	1722
769	5740	1714
770	5746	1706
771	5751	1698
772	5757	1690
773	5763	1682
774	5769	1675
775	5775	1667
776	5781	1659
777	5788	1651
778	5794	1643
779	5799	1635
780	5805	1627
781	5811	1620
782	5817	1612
783	5822	1604
784	5828	1596
785	5834	1588
786	5840	1580
787	5846	1572
788	5851	1564
789	5857	1557
790	5863	1549
791	5868	1541
792	5874	1533
793	5880	1525
794	5886	1517
795	5893	1510
796	5899	1502
797	5905	1494
798	5911	1487
799	5918	1479
800	5924	1471
801	5930	1464
802	5936	1456
803	5942	1448
804	5948	1440
805	5953	1433
806	5959	1425
807	5965	1417
808	5970	1409
809	5976	1401
810	5982	1394
811	5988	1386
812	5993	1378
813	6000	1371
814	6006	1363
815	6012	1355
816	6021	1348
817	6056	1347
818	6071	1341
819	6085	1335
820	6099	1329
821	6113	1323
822	6126	1317
823	6135	1310
824	6149	1304
825	6163	1298
826	6177	1292
827	6187	1285
828	6202	1279
829	6211	1272
830	6220	1265
831	6227	1257
832	6233	1249
833	6239	1241
834	6245	1234
835	6251	1226
836	6256	1218
837	6262	1210
838	6268	1202
839	6275	1195
840	6282	1187
841	6290	1180
842	6296	1172
843	6303	1165
844	6309	1157
845	6315	1149
846	6322	1142
847	6329	1134
848	6335	1126
849	6343	1119
850	6349	1111
851	6356	1104
852	6362	1096
853	6369	1088
854	6375	1081
855	6381	1073
856	6388	1066
857	6394	1058
858	6400	1050
859	6406	1042
860	6412	1035
861	6417	1027
862	6423	1019
863	6429	1012
864	6435	1004
865	6440	996
866	6446	988
867	6452	981
868	6458	973
869	6464	965
870	6470	958
871	6477	950
872	6483	943
873	6488	935
874	6496	928
875	6502	920
876	6508	912
877	6514	905
878	6519	897
879	6525	889
880	6531	882
881	6537	874
882	6543	867
883	6549	859
884	6555	851
885	6561	844
886	6567	836
887	6573	829
888	6583	822
889	6589	814
890	6595	806
891	6611	800
892	6624	793
893	6638	787
894	6653	780
895	6662	773
896	6675	766
897	6690	759
898	6706	753
899	6719	746
900	6735	740
901	6750	733
902	6759	726
903	6772	719
904	6779	711
905	6785	703
906	6791	696
907	6796	688
908	6802	681
909	6808	673
910	6814	665
911	6819	658
912	6825	650
913	6868	646
914	6889	640
915	6903	633
916	6919	626
917	6937	619
918	6951	612
919	6966	605
920	6982	598
921	7000	592
922	7012	585
923	7019	577
924	7029	569
925	7058	564
926	7069	556
927	7082	549
928	7096	542
929	7110	535
930	7124	528
931	7134	520
932	7150	513
933	7164	506
934	7177	498
935	7193	491
936	7207	484
937	7223	477
938	7232	469
939	7241	462
940	7247	454
941	7255	446
942	7260	438
943	7267	431
944	7275	423
945	7281	415
946	7288	407
947	7295	400
948	7302	392
949	7308	384
950	7314	376
951	7322	369
952	7329	361
953	7337	353
954	7343	346
955	7352	338
956	7358	330
957	7366	322
958	7371	315
959	7377	307
960	7384	299
961	7391	291
962	7398	284
963	7405	276
964	7410	268
965	7417	261
966	7423	253
967	7431	245
968	7437	237
969	7443	230
970	7450	222
971	7456	214
972	7465	207
973	7473	199
974	7479	191
975	7485	184
976	7491	176
977	7497	168
978	7502	160
979	7508	153
980	7514	145
981	7520	137
982	7525	130
983	7531	122
984	7537	114
985	7542	107
986	7548	99
987	7554	91
988	7559	84
989	7565	76
990	7573	68
991	7594	61
992	7602	53
993	7607	45
994	7613	38
995	7619	30
996	7625	22
997	7631	15
998	7636	7
999	7642	0
